UserID,Password,First Name, Last Name, Phone Number, Address
1,12, claire, tan,123, orchard
2,1234, livia, lim,1234, amk
3,30, bryant, tan,12345, hello
4,40, bryant, tan,12345, hi
burntnuggets, test, livia, lim,12345678, amk
test, test, livia, lim,123, amk
livia, pass, livia, lim,123, add
hi, hi, hello, world,123445, qdw
liv, liv, livia, lim,123,123
test, test, test, test, test, test
hi, hi, sda, wqd,13,23
test, pass, livia, lim,12345678, singapore
nagi, seishiro, nagi, seishiro,12345,12345
1,1,1,1,1,1
bachira, meguru, bachira, meguru,123,123
yuki,yuki,claire, tan, 12, 12
